empty_slots,free_bikes,id,latitude,longitude,name
12,4,9f63cebac9073eac3e90be2b9a91b02b,49.29534,-123.150433,Stanley Park - Second Beach North
6,12,9aa325529164ec68b4d96c4f1c4fc7c1,49.294318,-123.148808,Stanley Park - Second Beach South
18,2,e3d32ad772a5898c3b96c4d23d2cd542,49.298657,-123.121176,Stanley Park - Totem Poles
2,14,625a2ad202275c8e2be3ce868e85b105,49.259183,-123.120126,Heather & 14th
15,1,6c0de983fb47a3439a9e3c36a3d15804,49.263837,-123.105173,8th & Ontario
3,22,92c9e62c0b42adf4759c430009d3987a,49.270721,-123.146175,1st & Chestnut
7,9,51e4d3731aebbf9c3186f310a08de6c8,49.265605,-123.152566,7th & Arbutus
5,11,826af7eee4ce28b6fa4b4f0211305792,49.267222,-123.153157,5th & Arbutus
24,4,4cb84c9a3743287019ae00ceef9a1cd3,49.262255,-123.126217,10th & Oak
25,15,56fef9ba0af67a4ff3e661a8e02c0b08,49.257654,-123.153212,Arbutus & 16th
9,3,c81f75a80312c51ceaef1304beac1990,49.25919,-123.148268,Cypress & 14th
10,2,afacb2133f2462aba7748cc21b71c788,49.25741,-123.148531,Cypress & 16th
6,6,a9f0b06d07f89b75e92c0cf686223aea,49.285953,-123.124066,Georgia & Thurlow
6,10,686b314a6c3348efd2297d6b3dfed1a7,49.280881,-123.130672,Thurlow & Pendrell
5,7,0d1b5c62f8d22e3650811df55596e25b,49.256845,-123.120071,Heather & 16th
8,7,521c2122c791ed038168c3b8ff24061b,49.25849,-123.104799,14th & Ontario
5,9,838d5bb59963474ad08a6d5b156943ed,49.258425,-123.100792,14th & Main
11,7,b9ab6ce009eda6006ade1d7568d9db9c,49.270905,-123.126006,David Lam Park
10,8,9ec4163496363b31ab475cb851b57b21,49.273568,-123.129935,Beach & Seymour
3,15,fedff7a263c182df94bda7307059cc52,49.277141,-123.122589,Richards & Helmcken
6,10,b9baf685b7053de899bf3467f61c2781,49.267859,-123.145782,Burrard & 4th
16,0,8d6f0cbf7d44d2908c8ce73ed00dbf66,49.265336,-123.145823,Burrard & 7th
8,6,988f8f74c4a12d1a30ddf2f7cd6318f8,49.267628,-123.127698,South False Creek Seawall
10,6,2f09a64507cf6257c67ca20af27339eb,49.275938,-123.145939,Chestnut & McNicoll
7,12,73f388336d879bedc962cd412eb0296e,49.2756,-123.102661,Creekside Park North
10,8,cb6fddfdac7d350d25be475c7ab9e05a,49.284157,-123.099917,Alexander & Main
10,10,cadc004f0903ef45e898032143c0832f,49.258924,-123.152591,Arbutus Greenway & 14th
6,10,57e928d8c30fab0ebffb3ede850f89d6,49.266774,-123.141135,Arbutus Greenway & Fir
31,5,6526a2eb3832f9ba0224d237e901ea5b,49.273355,-123.154493,Kitsilano Beach Park
17,13,e44c2235dd603dbee54fe08f7543e85a,49.276144,-123.151272,Arbutus & McNicoll
15,2,3596b4831ee2ea7812de753b32306835,49.268339,-123.157443,Vine & 4th
6,8,c448b73d92f7f8e1daafb3b9c5fbe6a6,49.284062,-123.095097,Alexander & Dunlevy
11,3,5fc29e0ac42c11abb45bf12aaeb925bd,49.261742,-123.13148,Alder & 11th
7,7,61901a235d4cfceb7f8f2c3888b98617,49.262206,-123.109091,10th & Columbia
15,13,175a074bf65455d1633639511dc129c8,49.27023,-123.10651,1st & Manitoba
13,6,35eb539fb9298bb7e4f6759ca0256505,49.262062,-123.104656,10th & Ontario
