Name,Rating,Longitude,Latitude,Address,Zipcode,station_id
Minami,4.0,-123.1207029,49.2752733,1118 Mainland Street,V6B 2T9,d1c9556d92f329703229fb3e33899a3b
Tasty Indian Bistro,4.0,-123.1236818,49.2744011,1261 Hamilton Street,V6B 6K3,d1c9556d92f329703229fb3e33899a3b
Saku,4.5,-123.11667523250104,49.2631006,548 W Broadway,V5Z 1E9,d1c9556d92f329703229fb3e33899a3b
CRAFT Beer Market,3.5,-123.1060713,49.2702147,85 W 1st Avenue,V5Y 3K8,95e624191c655f50e401d280cd39a9ad
Tap & Barrel - Olympic Village,3.0,-123.106136,49.2715389,75 Athletes Way,V5Y 0B1,95e624191c655f50e401d280cd39a9ad
Johnnie Fox's Irish Pub,4.0,-123.10129,49.27142,1601 Main Street,V6A 2W5,95e624191c655f50e401d280cd39a9ad
Phnom Penh,4.0,-123.098205,49.278431,244 E Georgia Street,V6A 1Z7,95e624191c655f50e401d280cd39a9ad
Fanny Bay Oyster Bar & Shellfish Market,4.5,-123.1138689,49.2787525,762 Cambie St,V6B 2P2,95e624191c655f50e401d280cd39a9ad
Gusto A Taste of Italy,4.0,-123.10593623668,49.2714006565536,1610 Salt St,V5Y 0E4,95e624191c655f50e401d280cd39a9ad
Jam Cafe on Beatty,4.5,-123.1096376,49.2802586,556 Beatty Street,V6B 2L3,95e624191c655f50e401d280cd39a9ad
Terra Breads,4.0,-123.1067987907931,49.27144458615277,1605 Manitoba Street,V5Y 1A6,95e624191c655f50e401d280cd39a9ad
Cream Pony,4.0,-123.1022395874257,49.2704783,111 East 1st Street,V7L 1B2,95e624191c655f50e401d280cd39a9ad
Bodega On Main,4.0,-123.09968391901442,49.27548853708847,1014 Main Street,V6A 2W1,95e624191c655f50e401d280cd39a9ad
Miku,4.5,-123.11276314110472,49.28691753455261,200 Granville Street,V6C 1S4,3e112f9fe877e0003780386359060ae6
ARC Restaurant,4.0,-123.1137298,49.2872868,900 Canada Place Way,V6C 3L5,3e112f9fe877e0003780386359060ae6
Five Sails Restaurant,4.5,-123.113292160758,49.2880313351364,401-999 Canada Place,V6C 3E1,3e112f9fe877e0003780386359060ae6
Botanist,4.5,-123.1167271,49.2883099,1038 Canada Place,V6C 0B9,3e112f9fe877e0003780386359060ae6
Riley's Fish & Steak,4.0,-123.1151089,49.287641996861865,200 Burrard Street,V6C 3L6,3e112f9fe877e0003780386359060ae6
Rogue Kitchen & Wetbar,3.5,-123.11143693120827,49.28534134027417,601 W Cordova Street,V6B 1G1,3e112f9fe877e0003780386359060ae6
Palate Kitchen,4.0,-123.1157402,49.286331,848 W Hastings Street,V6C 1C8,3e112f9fe877e0003780386359060ae6
Nightingale,4.0,-123.117770967577,49.2874110331456,1017 West Hastings Street,V6E 0C4,3e112f9fe877e0003780386359060ae6
Cactus Club Cafe,4.0,-123.1181077748714,49.2895176422553,1085 Canada Place,V6C 3E1,3e112f9fe877e0003780386359060ae6
Mahony's Tavern,3.0,-123.11554535276048,49.28840222211849,1055 Canada Place,V6C 0C3,3e112f9fe877e0003780386359060ae6
Medina Cafe,4.0,-123.117036269849,49.2804429972571,780 Richards Street,V6B 3A4,6993b3dbb0758927967592ea612a2b1e
Hawksworth Restaurant,4.0,-123.1191704,49.2833971,801 W Georgia Street,V6C 1P7,6993b3dbb0758927967592ea612a2b1e
Tokyo Katsu-Sand,4.0,-123.1182597,49.2827218,725 W Georgia St,V7Y 1K8,6993b3dbb0758927967592ea612a2b1e
JINYA Ramen Bar - Vancouver,4.0,-123.11793569570304,49.28031515071204,541 Robson St.,V6B 2B7,6993b3dbb0758927967592ea612a2b1e
Miku,4.5,-123.11276314110472,49.28691753455261,200 Granville Street,V6C 1S4,6993b3dbb0758927967592ea612a2b1e
Gotham Steakhouse & Bar,4.0,-123.115793,49.2829254,615 Seymour Street,V6B 3K3,6993b3dbb0758927967592ea612a2b1e
Kokoro Tokyo Mazesoba,4.0,-123.115078,49.2833927,551 Seymour Street,V6B 3H6,6993b3dbb0758927967592ea612a2b1e
Hy's Steakhouse & Cocktail Bar,4.0,-123.11927,49.28468,637 Hornby Street,V6C 2G3,6993b3dbb0758927967592ea612a2b1e
Glowbal,3.0,-123.117092920094,49.2815627886161,590 West Georgia Street,V6E 1A3,6993b3dbb0758927967592ea612a2b1e
JOEY Burrard,4.0,-123.12316775322,49.2827851242953,820 Burrard St,V6Z 1X9,6993b3dbb0758927967592ea612a2b1e
Nightingale,4.0,-123.117770967577,49.2874110331456,1017 West Hastings Street,V6E 0C4,bf8408067b0e0c963f3ff526977bcef3
Botanist,4.5,-123.1167271,49.2883099,1038 Canada Place,V6C 0B9,bf8408067b0e0c963f3ff526977bcef3
Miku,4.5,-123.11276314110472,49.28691753455261,200 Granville Street,V6C 1S4,bf8408067b0e0c963f3ff526977bcef3
Cactus Club Cafe,4.0,-123.1181077748714,49.2895176422553,1085 Canada Place,V6C 3E1,bf8408067b0e0c963f3ff526977bcef3
Cactus Club Cafe,4.0,-123.11881637137162,49.28554081466174,588 Burrard Street,V6C 1A8,bf8408067b0e0c963f3ff526977bcef3
Showcase Restaurant & Bar,4.0,-123.1204414,49.2879858,1122 West Hastings Street,V6E 4R5,bf8408067b0e0c963f3ff526977bcef3
Alouette Bistro,4.5,-123.11829,49.2853,567 Hornby Street,V6C 2E8,bf8408067b0e0c963f3ff526977bcef3
Hy's Steakhouse & Cocktail Bar,4.0,-123.11927,49.28468,637 Hornby Street,V6C 2G3,bf8408067b0e0c963f3ff526977bcef3
Palate Kitchen,4.0,-123.1157402,49.286331,848 W Hastings Street,V6C 1C8,bf8408067b0e0c963f3ff526977bcef3
Tap & Barrel - Convention Centre,4.0,-123.116857235515,49.289845529586,1055 Canada Place,V6C 0C3,bf8408067b0e0c963f3ff526977bcef3
OEB Breakfast Co. Yaletown,4.5,-123.1192724,49.2734341,1137 Marinaside Crescent,V6Z 2Y3,d2244f1a81d317c76cabd65e81250835
The Flying Pig,4.0,-123.122,49.27501,1168 Hamilton Street,V6B 2S2,d2244f1a81d317c76cabd65e81250835
Robba da Matti,4.0,-123.1208967,49.2753397,1127 Mainland Street,V6B 5P2,d2244f1a81d317c76cabd65e81250835
Minami,4.0,-123.1207029,49.2752733,1118 Mainland Street,V6B 2T9,d2244f1a81d317c76cabd65e81250835
Rodney's Oyster House,4.0,-123.123131,49.274326,1228 Hamilton Street,V6B 6L2,d2244f1a81d317c76cabd65e81250835
Blue Water Cafe,4.5,-123.1209935,49.2761945,1095 Hamilton St,V6B 5T4,d2244f1a81d317c76cabd65e81250835
Provence Marinaside,3.5,-123.1194637,49.2733385,1177 Marinaside Crescent,V6Z 2Y3,d2244f1a81d317c76cabd65e81250835
Fanny Bay Oyster Bar & Shellfish Market,4.5,-123.1138689,49.2787525,762 Cambie St,V6B 2P2,d2244f1a81d317c76cabd65e81250835
MeeT in Yaletown,4.0,-123.121902530398,49.2748495736666,1165 Mainland Street,V6B 5P2,d2244f1a81d317c76cabd65e81250835
Elisa,4.0,-123.1213608,49.2759562,1109 Hamilton Street,V6B 5P6,d2244f1a81d317c76cabd65e81250835
Hawksworth Restaurant,4.0,-123.1191704,49.2833971,801 W Georgia Street,V6C 1P7,0b543fc4e694fe07a54dac48bb1b3390
